First name,Last name,Email,Phone,Country,City,Profession,Website,Social medias,Progress track,Notes on client,Meet with,tag
Amy,zhao,313866062@qq.com,86210459187,China,Christchurch,Manager,,,Interested in socialChatPal,,dfdsf,complete
Bob,zhao,313866062@qq.com,86210459187,China,Christchurch,CEO,,,Attended a meeting with our staff,fsdfd,,complete
Isaac,Lin,blin510@aucklanduni.ac.nz,86210459187,New Zealand,Christchurch,developer,,,Contact made,Izzy,dfsdf,complete
Isaac,Lin,blin510@aucklanduni.ac.nz,86210459187,New Zealand,Christchurch,tester,,,Follow up meeting attended,Izzy,,complete
Terence,Xi,fdsfs@qq.com,210459187,New Zealand,Auckland,dealer,,,Contact made,Mandy,no,complete
Baisong,Lin,313866062@qq.com,86210459187,China,Christchurch,dealer,,,Establish contact,fdsf,,complete
lily,zhao,313866062@qq.com,86210459187,Christchurch,China,fsdff,,,1 to 1 meeting scheduled,,dfdsf,complete
mary,zhao,313866062@qq.com,86210459187,Christchurch,China,fdsfds,,,Buy product,,fsdfd,complete
dasy,Lin,blin510@aucklanduni.ac.nz,86210459187,Christchurch,New Zealand,developer,,,Contact made,MAY,dfsdf,complete
kim,Lin,blin510@aucklanduni.ac.nz,86210459187,Christchurch,New Zealand,tester,,,Establish contact,,Izzy,complete
Ter,Xi,fdsfs@qq.com,210459187,Auckland,New Zealand,dealer,,,Contact made,Mandy,no,complete
Blake,Lin,313866062@qq.com,86210459187,Christchurch,China,dealer,,,1 to 1 meeting scheduled,,fdsf,friend
Mandy,Lin,blin510@aucklanduni.ac.nz,86210459187,Christchurch,New Zealand,fsdfsd,,,Buy product,,,friend
ekwle,fsdfs,fdsfs@qq.com,210459187,Auckland,New Zealand,gdfgdf,,,Interested in superChatPal,,,friend
Cindy,zhao,313866062@qq.com,86210459187,Christchurch,China,fsdff,,,1 to 1 meeting scheduled,,dfdsf,friend
Tom,zhao,313866062@qq.com,86210459187,Christchurch,China,fdsfds,,,Establish contact,fsdfd,,friend
May,Lin,blin510@aucklanduni.ac.nz,86210459187,Christchurch,New Zealand,developer,,,Contact made,dfsdf,amy,friend
Tom,zhao,313866062@qq.com,86210459187,Christchurch,China,fdsfds,,,Attended a meeting with our staff,fsdfd,,tough
Isaac,Lin,31386662@qq.com,,New Zealand,,fdsg,,,Follow up meeting scheduled,,,tough
Isaac,Lin,31386662@qq.com,,New Zealand,,fdsfsdfsd,,,Follow up meeting scheduled,fdfsdf,,tough
